,Tatouage,Description,Code Exploitant,Entité,Axe,Sens,Pr,Type d'Axe,Axe 2aire,État,Local,Dans tunnel,Tunnel,Famille,Type Famille,Linéaire,Segment,Niveau,Parent,Mainteneur,Détenteur,Latitude,Longitude,GPS,Responsable,Date de mise en service,Fonction F40,Fonction Symptome,ID ISIDORE,Pr fin
3,L10.003J,ST 86.5,ST86.5,AGER_NORD,A86NORD,E,"15,0826",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A86NORDE,12011557,2,L10.447M,PCTT_NORD,DIRIF,"48,92375","2,383681","48.923750,2.383681",UER_SAINT-DENIS,,C11,BAT,,"15,0826"
4,L10.004K,PL de Guichard (mitoyen avec Express) - Saint Denis,PL_GUICHARD,AGER_NORD,A1,W,"2,04",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PL,A1W,12006873,1,,PCTT_NORD,DIRIF,"48,92289","2,356356","48.922890,2.356356",CD-93,,C11,BAT,,"2,04"
5,L10.005L,ST 1.1,ST1.1,AGER_NORD,A1,W,"2,04",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A1W,12006873,1,,PCTT_NORD,DIRIF,"48,92292","2,356181","48.922920,2.356181",CD-93,,C11,BAT,,"2,04"
6,L10.007N,PC DEN + ST 1.2 - Saint Denis,PC_ST1.2,AGER_NORD,A1,W,4,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PC,A1W,12004141,1,,PCTT_NORD,DIRIF,"48,932465","2,370203","48.932465,2.370203",UER_SAINT-DENIS,,C11,BAT,,4
7,L10.008P,ST 86.6,ST86.6,AGER_NORD,A86NORD,I,"17,006",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A86NORDI,12005265,1,,PCTT_NORD,DIRIF,"48,925682","2,399989","48.925682,2.399989",UER_SAINT-DENIS,,C11,BAT,,"17,006"
8,L10.012U,ST 1.4,ST1.4,AGER_NORD,A1,Y,"8,05",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A1Y,12004095,1,,PCTT_NORD,DIRIF,"48,941746","2,430242","48.941746,2.430242",UER_SAINT-DENIS,,C9,BAT,,"8,05"
9,L10.013V,PL AUL - Aulnay,PL_AULNAY,AGER_NORD,A3,W,14,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-PL,A3W,12005058,1,,PCTT_NORD,DIRIF,"48,961075","2,473169","48.961075,2.473169",UER_SAINT-DENIS,,C11,BAT,,14
10,L10.014W,LC AUL + ST 1.5 - Aulnay,LC AUL_ST1.5,AGER_NORD,A3,W,14,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-LC,A3W,12005058,1,,PCTT_NORD,DIRIF,"48,961075","2,473169","48.961075,2.473169",UER_SAINT-DENIS,,C11,BAT,,14
11,L10.015X,ST 1.6,ST1.6,AGER_NORD,A3,Y,"16,02",,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A3Y,12004998,1,,PCTT_NORD,DIRIF,"48,97348","2,488275","48.973480,2.488275",UER_SAINT-DENIS,,C11,BAT,,"16,02"
12,L10.016Y,ST 1.7,ST1.7,AGER_NORD,A1,Y,16,,,EXPLOI,,Non,HORS_TUNNEL,LOCAL,LOCAL-ST,A1Y,12004123,1,,PCTT_NORD,DIRIF,"48,98595","2,506908","48.985950,2.506908",UER_SAINT-DENIS,,C11,BAT,,16
