,Entité,Tatouage,CodeEx,Axe,Sens,Pr,Famille,TypeFam,Description,TypeAxe,Axe2,Etat,Local,Parent,Tunnel,GPS,MiseServ,F40
1094,AGER_OUEST_N,M1XYY,LU01V,A86OUEST,E,"0,025",CAPTEUR,LUMINANCEMETRE,Luminancemètre - B3/B4 - Tunnel de Nanterre-La Défense,C,,EXPLOI,,,ECHANGEUR_NANTERRE,"48.903267,2.205543",,C3
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2857,AGER_OUEST_N,L10.156R,DEF-NSY-023/DEF,A14,Y,"3,0784",LOCAL,LOCAL-NICHE,Niche sécurité NSY-023 - PAU NR03F - Tunnel de Nanterre-La Défense,LH,B1,EXPLOI,,,ECHANGEUR_NANTERRE,"48.901480,2.204367",,C9
10322,AGER_OUEST_N,A70.332U,MESD/DFP2.J,A14,Y,"3,0784",AUTOMATE,MESD,MESD dans l’armoire DFP sens Y - Entrée B1 - Tunnel de Nanterre-La Défense,C,B1,EXPLOI,L10.156R,T20.086M,ECHANGEUR_NANTERRE,"48.901485,2.204839",02/11/2009,C8
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2983,AGER_OUEST_N,L10.301N,ANATOLE-FRANCE,A86OUEST,I,"0,025",LOCAL,LOCAL-LTU-USI,LTU ANATOLE FRANCE (A86 Nord) - Tunnel de Nanterre-La Défense,L,,EXPLOI,,,NANTERRE_CENTRE,"48.902435,2.204972",,C11
10428,AGER_OUEST_N,A70.449J,MESD/1-A-FRANCE,A86OUEST,I,"0,025",AUTOMATE,MESD,MESD dans l'armoire MESD du LTU ANATOLE FRANCE,L,,EXPLOI,L10.301N,T22.954C,ECHANGEUR_NANTERRE,"48.902435,2.204972",31/12/2012,C8
10429,AGER_OUEST_N,A70.451L,MESD/2-A-FRANCE,A86OUEST,I,"0,025",AUTOMATE,MESD,MESD dans l'armoire MESD du LTU ANATOLE FRANCE,L,,EXPLOI,L10.301N,T22.954C,ECHANGEUR_NANTERRE,"48.902435,2.204972",31/12/2012,C8
10430,AGER_OUEST_N,A70.452M,MESD/3-A-FRANCE,A86OUEST,I,"0,025",AUTOMATE,MESD,MESD dans l'armoire MESD du LTU ANATOLE FRANCE,L,,EXPLOI,L10.301N,T22.954C,ECHANGEUR_NANTERRE,"48.902435,2.204972",31/12/2012,C8
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2989,AGER_NORD,L10.307V,AERATION,A86NORD,E,"20,087",LOCAL,LOCAL-LTU-USI,LTU AERATION - Tunnel de Bobigny,,,EXPLOI,,,BOBIGNY,"48.912827,2.437408",,C11
4276,AGER_NORD,L11.813M,SP_AERATION,A86NORD,E,"20,087",LOCAL,LOCAL-SP,LTU AERATION / Station de Pompage,,,EXPLOI,,L10.307V,LANDY,,,C4
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
10211,AGER_OUEST_N,A70.066D,AP1NEU/A7,A14,W,"0,016",AUTOMATE,AUTOMATE-API,Automate GTC - Neuilly - LTU Usine A7,L,,EXPLOI,L10.283S,,NEUILLY,"48.884525,2.261622",,C8
