Tatouage,Description,CodeEx,Axe,Sens,Pr,État,Dans tunnel,Tunnel,Segment,Parent,GPS,triCode,Fermeture
L10.122A,Niche sécurité NSW-701 - PAU NM01R - Tunnel de Nanterre-La Défense,DEF-NSW-701/DEF,N1013,W,"0,0379",EXPLOI,Oui,LA_DEFENSE,12004434,,"48.889957,2.239356",A14,A14&NEU-W
L10.123C,Niche sécurité NSW-702 - PAU NM00R - Tunnel de Nanterre-La Défense,DEF-NSW-702/DEF,N1013,W,"0,023",EXPLOI,Oui,LA_DEFENSE,12004434,,"48.890278,2.240661",A14,A14&NEU-W
L10.124D,Niche sécurité NSW-601 - PAU NG01R - Tunnel de Nanterre-La Défense,DEF-NSW-601/DEF,N192,W,"0,0509",EXPLOI,Oui,LA_DEFENSE,12004433,,"48.892075,2.240956",A14,A14&NEU-W
L10.125E,Niche sécurité NSW-602 - PAU NG00S - Tunnel de Nanterre-La Défense,DEF-NSW-602/DEF,N192,W,"0,0324",EXPLOI,Oui,LA_DEFENSE,12004433,,"48.889793,2.243714",A14,A14&NEU-W
L10.126F,Niche sécurité NSW-603 - PAU NG00R - Tunnel de Nanterre-La Défense,DEF-NSW-603/DEF,N192,W,"0,0238",EXPLOI,Oui,LA_DEFENSE,12004433,,"48.890770,2.241594",A14,A14&NEU-W
L10.129J,Niche sécurité NSY-001 - PAU NR00A - Tunnel de Nanterre-La Défense,DEF-NSY-001/DEF,A14,Y,"0,0129",EXPLOI,Oui,LA_DEFENSE,12004493,,"48.888294,2.250061",A14,A14&NEU-Y
L10.131L,Niche sécurité NSY-002 - PAU NR00B - Tunnel de Nanterre-La Défense,DEF-NSY-002/DEF,A14,Y,"0,023",EXPLOI,Oui,LA_DEFENSE,12004496,,"48.888763,2.249050",A14,A14&NEU-Y
L10.132M,Niche sécurité NSY-003 - PAU NR00C - Tunnel de Nanterre-La Défense,DEF-NSY-003/DEF,A14,Y,"0,0371",EXPLOI,Oui,LA_DEFENSE,12004496,,"48.889248,2.247158",A14,A14&NEU-Y
L10.133N,Niche sécurité NSY-004 - PAU NR00D - Tunnel de Nanterre-La Défense,DEF-NSY-004/DEF,A14,Y,"0,0531",EXPLOI,Oui,LA_DEFENSE,12004500,,"48.889763,2.245311",A14,A14&NEU-Y
L10.134P,Niche sécurité NSY-005 - PAU NR00E - Tunnel de Nanterre-La Défense,DEF-NSY-005/DEF,A14,Y,"0,0679",EXPLOI,Oui,LA_DEFENSE,12004500,,"48.890324,2.243628",A14,A14&NEU-Y
L10.135R,Niche sécurité NSY-006 - PAU NR00F - Tunnel de Nanterre-La Défense,DEF-NSY-006/DEF,A14,Y,"0,0778",EXPLOI,Oui,LA_DEFENSE,12004504,,"48.890980,2.242117",A14,A14&NEU-Y
L10.136S,Niche sécurité NSY-007 - PAU NR01A - Tunnel de Nanterre-La Défense,DEF-NSY-007/DEF,A14,Y,"0,0946",EXPLOI,Oui,LA_DEFENSE,12004505,,"48.891490,2.240519",A14,A14&NEU-Y
L10.137T,Niche sécurité NSY-008 - PAU NR01B - Tunnel de Nanterre-La Défense,DEF-NSY-008/DEF,A14,Y,"1,0078",EXPLOI,Oui,LA_DEFENSE,12004505,,"48.892105,2.238544",A14,A14&NEU-Y
L10.138U,Niche sécurité NSY-009 - PAU NR01C - Tunnel de Nanterre-La Défense,DEF-NSY-009/DEF,A14,Y,"1,0285",EXPLOI,Oui,LA_DEFENSE,12004505,,"48.892715,2.236289",A14,A14&NEU-Y
L10.139V,Niche sécurité NSY-010 - PAU NR01D - Tunnel de Nanterre-La Défense,DEF-NSY-010/DEF,A14,Y,"1,0443",EXPLOI,Oui,LA_DEFENSE,12004506,,"48.893276,2.234153",A14,A14&NEU-Y
L10.141X,Niche sécurité NSY-011 - PAU NR01E - Tunnel de Nanterre-La Défense,DEF-NSY-011/DEF,A14,Y,"1,0662",EXPLOI,Oui,LA_DEFENSE,12004507,,"48.894130,2.231450",A14,A14&NEU-Y
L10.142Y,Niche sécurité NSY-012 - PAU NR01F - Tunnel de Nanterre-La Défense,DEF-NSY-012/DEF,A14,Y,"1,0836",EXPLOI,Oui,LA_DEFENSE,12004507,,"48.894947,2.228881",A14,A14&NEU-Y
L10.143A,Niche sécurité NSY-013 - PAU NR02A - Tunnel de Nanterre-La Défense,DEF-NSY-013/DEF,A14,Y,"2,0007",EXPLOI,Oui,LA_DEFENSE,12004507,,"48.895530,2.227064",A14,A14&NEU-Y
L10.144C,Niche sécurité NSY-501 (n°9) - PAU NR01G - Tunnel de Nanterre-La Défense,DEF-NSY-501/DEF,N314,Y,"1,08",EXPLOI,Oui,LA_DEFENSE,12004508,,"48.895786,2.228411",A14,A14&NEU-Y
L10.145D,Niche sécurité NSY-502 (n°11) - PAU NR02B - Tunnel de Nanterre-La Défense,DEF-NSY-502/DEF,N314,Y,2,EXPLOI,Oui,LA_DEFENSE,12004508,,"48.895664,2.227225",A14,A14&NEU-Y
L10.146E,Niche sécurité NSY-014 - PAU NR02C - Tunnel de Nanterre-La Défense,DEF-NSY-014/DEF,A14,Y,"2,0267",EXPLOI,Oui,LA_DEFENSE,12004509,,"48.896557,2.223972",A14,A14&NEU-Y
